DISPANCESLR, INCLINOMETERYMAX, INCLINOMETERYZC, GROUNDSPEED, DEPTH, INCLINOMETERXZC, MEPOWER, METORQUE, INCLINOMETERXMAX, TRANSVERSEGROUNDSPEED, WINDANGLE, WINDSPEED, MEFOFLOW, DEPTHOFFSET, INCLINOMETERYMIN, COMMANDEDRUDDERANGLE, VESSELHEAD, LATITUDE, MERPM, RUDDERANGLE, SPEEDKNOTS, LONGTITUDE, INCLINOMETERXMIN, GEFOTOTALVOLUME, GEFOFLOW, WATERSPEED, TRACKDEGREES, MEFOTOTALVOLUME, TOTALACCUMULATEDDISTANCE, TIMESTAMP
69570.22,0,13.98,-0.63,95.18,20.7,-0.16,0,6478.95,0.74,-207.36,0.66,24,3267.81,0.6,0,225.25,-1.18,51.84,0.14,13.91,12642.04,5.2,5589.4,-0.36,13.63,229.5,2412.2,69062.6,1/13/2013 1:02
69571.41,0,13.85,-0.56,98.2,21.03,-0.16,0,6654.52,0.93,-222.87,1.93,26,3266.55,0.13,0,225.3,-1.19,51.97,-0.33,13.95,12640.26,5.4,5616.2,-0.35,13.57,229.71,2425,69063.8,1/13/2013 1:07
-0.57,0,69572.53,13.9,-0.16,0,98.72,6531.65,21.04,1.23,26,1.08,-240.63,3265.32,-1.16,0.16,0,225.12,-0.31,14.01,51.82,12638.47,-0.36,5.2,5642.4,13.66,230.83,69064.89,2437.8,1/13/2013 1:12
13.85,-0.6,0,69573.64,-0.16,0,97.12,6610.93,20.15,0.98,24,1.26,-276.75,3264.1,-1.1,0.43,0,224.8,0,13.9,51.78,12636.64,-0.34,5.2,5668.6,13.76,231.14,69066.02,2450.2,1/13/2013 1:17
13.74,-0.66,0,69574.84,-0.17,0,91.26,6559.1,21,0.95,26,1.3,-217.63,3262.85,-1.12,1.1,0,224.6,0.53,51.87,13.88,12634.78,-0.34,5.2,5694.6,13.63,230.29,69067.22,2462.8,1/13/2013 1:22
13.76,-0.62,0,69576.03,-0.16,0,94.8,6643.3,20.91,0.7,26,1.12,-171.88,3261.61,-1.2,1.07,0,224.97,51.89,0.7,13.83,12632.95,-0.35,5.2,5720.8,13.63,230.29,69068.42,2475.8,1/13/2013 1:27
13.73,-0.63,0,69577.14,-0.15,0,95.66,6678.47,21.01,0.87,1.03,24,-258.49,3260.38,-1.15,0,0.56,224.98,51.93,0.26,13.81,12631.22,-0.36,5.2,5746.8,13.47,228.83,69069.54,2488.2,1/13/2013 1:32
13.93,-0.57,0,69578.25,-0.16,0,92.94,6748.61,21.07,0.67,0.5,26,-228.82,3259.15,-1.17,0,225.41,0.2,51.93,-0.37,13.98,12629.52,-0.36,5.2,5772.8,13.63,229.14,69070.62,2501,1/13/2013 1:37
13.83,-0.54,0,69579.35,-0.17,0,91.5,6518.49,21.03,0.79,0.39,26,-210.24,3257.92,-1.19,0.36,0,225.03,51.9,-0.06,13.9,12627.79,-0.35,5.4,5799.2,13.71,229,69071.75,2513.8,1/13/2013 1:42
13.89,-0.57,0,69580.48,-0.15,0,92.4,6659.21,21.49,0.9,0.36,26,-157.39,3256.65,-1.15,0.16,0,225.23,51.93,-0.31,13.9,12626.03,-0.36,5,5825,13.61,229.5,69072.86,2526.4,1/13/2013 1:47
13.91,-0.47,69581.68,0,0,-0.16,91,6880.5,20.21,0.95,0.75,26,-187.58,3255.39,-1.12,3.62,0,228.54,51.89,-0.32,13.93,12624.25,-0.35,5.4,5851.2,13.67,231,69074.05,2539.4,1/13/2013 1:52
13.98,-0.41,69582.78,0,0,-0.16,90.15,6674.76,20.91,0.84,2.46,24,-114.04,3254.38,-1.17,1.23,0,239.3,52.03,-1.14,14.03,12622.31,-0.34,5,5877,13.59,243,69075.18,2552.2,1/13/2013 1:57
14,-0.5,69583.9,0,0,-0.15,88.72,20.66,6558.41,0.87,-122.86,2.34,26,3253.49,-1.19,0.17,0,238.87,51.99,-0.43,14.04,12620.22,-0.36,5.4,5903.2,13.6,242.83,69076.26,2565.2,1/13/2013 2:02
14.07,-0.53,69585.09,0,0,-0.15,89.72,20.84,6492.74,0.85,-82.88,1.32,26,3252.6,-1.18,237.56,0.97,0,51.95,-0.85,14.08,12618.13,-0.36,5.2,5929.4,13.58,242.43,69077.47,2577.8,1/13/2013 2:07
69586.21,13.99,-0.53,0,88.78,-0.15,0,6530.08,20.68,-89.24,0.86,0.79,24,3251.64,231.85,0.5,0,-1.32,13.86,-0.16,51.94,12616.13,5.2,5955.4,-0.36,13.54,237.17,2590.2,69078.58,1/13/2013 2:12
69587.29,13.68,-0.59,0,88.18,-0.17,0,6544.06,20.95,-81.22,0.99,0.67,26,3250.51,224.86,1.03,0,-1.27,13.67,0.68,51.9,12614.29,5.2,5981.4,-0.35,13.53,230.43,2602.8,69079.68,1/13/2013 2:17
69588.41,13.6,-0.55,0,88.1,-0.15,0,6590.88,21.24,-159.94,1.02,1.69,26,3249.27,0.26,224.79,0,-1.13,13.7,-0.27,51.97,12612.55,5.4,6008.2,-0.35,13.6,229.57,2615.8,69080.8,1/13/2013 2:22
69589.53,13.61,-0.55,0,87.32,-0.16,0,6630.24,20.24,-192.39,0.96,0.46,24,3248.06,0.31,224.82,0,-1.21,13.7,-0.1,51.86,12610.85,5.6,6035.8,-0.35,13.61,229.5,2628.2,69081.89,1/13/2013 2:27
69590.71,13.69,-0.59,0,86.41,-0.16,0,6557.21,20.37,-54.97,0.96,0.62,26,3246.85,0.3,224.89,0,-1.16,13.7,-0.17,51.9,12609.16,5.4,6063.2,-0.36,13.69,229.43,2641,69083.11,1/13/2013 2:32
69591.93,13.64,-0.57,0,85.56,-0.15,0,6531.17,20.29,-198.01,0.95,0.65,26,3245.45,1.15,222.41,0,-1.23,13.56,-0.41,51.9,12607.22,5.4,6090.2,-0.36,13.63,227.71,2653.4,69084.29,1/13/2013 2:37
69593.1,13.53,-0.54,0,0,6671.26,20.84,84.61,-0.13,-250.93,1.04,24,1.1,3244.13,0.5,221.71,0,-1.19,13.5,0.2,51.91,12605.56,5.2,6116.6,-0.37,13.63,226.57,2666.2,69085.5,1/13/2013 2:42
69594.23,13.6,-0.61,0,0,6623.34,83.3,-0.15,20.97,-187.87,1,26,0.4,3242.9,0.7,220.49,0,-1.24,13.44,0.24,51.91,12604.01,5.2,6142.8,-0.36,13.62,225.57,2678.8,69086.61,1/13/2013 2:47
69595.35,13.37,-0.56,0,20.58,0,6725.62,82.44,-0.15,0.9,24,-137.76,0.56,3241.56,0.5,217.97,0,-1.22,13.33,0.27,52,12602.45,6169.2,5.4,-0.35,13.58,222.5,2691.2,69087.72,1/13/2013 2:52
69596.52,13.38,-0.58,0,20.87,0,6702.44,81.12,-0.15,0.95,26,-197.92,0.33,3240.18,0.53,0,218.01,-1.19,13.4,0.27,51.96,12600.94,6195.6,-0.36,5.2,13.67,223,2704.2,69088.91,1/13/2013 2:57
69597.64,13.34,-0.61,0,20.68,0,6512.06,80.88,-0.15,0.95,1.17,26,-227.09,3238.82,0.96,0,216.21,-1.2,0.63,13.3,51.95,12599.44,6222,-0.36,5.4,13.63,221.57,2716.8,69090.02,1/13/2013 3:02
-0.59,0,69598.77,13.24,20.81,-0.15,6710.26,79.32,0,-225.24,0.99,1.04,24,3237.41,0,-1.17,0.51,214.85,0.16,13.2,51.84,12598,5.2,6248.4,-0.36,13.65,220,69091.14,2729.2,1/13/2013 3:07
-0.5,0,69599.95,13.22,78.7,-0.14,6746.31,21.41,0,-130.35,0.89,0.6,26,3236,0,-1.19,0.7,217.71,13.17,51.91,0.17,12596.58,5.2,6274.6,-0.37,221.14,13.65,69092.33,2741.8,1/13/2013 3:12
-0.4,69601.07,13.36,0,78.12,-0.15,6655.17,21.33,0,-193.2,0.81,0.4,26,3234.74,0,-1.15,0.7,228.07,13.4,51.96,-0.31,12594.98,5.2,6300.6,-0.36,231.71,13.6,69093.45,2754.8,1/13/2013 3:17
-0.54,69602.11,13.38,0,77.39,-0.16,6527.02,21.04,0,-146.24,0.84,0.98,25,3233.67,0,-1.18,0.28,227.5,13.32,51.92,-0.12,12593.32,5.25,6324.25,-0.35,232,13.65,69094.48,2766.25,1/13/2013 3:22
-0.47,69603.11,13.3,0,75.76,-0.15,6589.77,20.32,0,-130.14,0.84,1.7,26,3232.63,0,-1.24,0.29,227.24,13.3,51.98,-0.06,12591.73,5.4,-0.36,6348.2,231.71,13.67,69095.5,2777.8,1/13/2013 3:27
-0.52,69604.23,13.32,0,74.29,-0.13,6766.64,21.49,0,0.82,-90.37,1.36,24,3231.49,0,-1.19,0.31,227.2,-0.17,13.27,51.97,12590.01,5.2,-0.39,6374.4,232,13.6,69096.62,2790.2,1/13/2013 3:32
-0.41,69605.44,13.31,0,73.55,-0.14,6694.62,21.15,0,2.2,0.83,-114.72,26,3230.38,-1.23,0.2,0,227.13,-0.43,13.28,51.94,12588.33,5.2,-0.36,6400.8,231.71,13.63,69097.8,2803.2,1/13/2013 3:37
-0.42,69606.52,13.34,0,73.36,-0.15,6648.64,20.25,0,1.93,0.78,-125.3,26,3229.27,-1.22,0.49,0,227.1,-0.11,13.3,52.02,12586.65,5,-0.36,6426,231.29,13.56,69098.91,2815.8,1/13/2013 3:42
69607.64,-0.54,13.38,0,71.9,-0.14,6731.78,21.11,0,0.54,0.79,-94.96,26,3228.11,-1.21,0.2,0,226.85,-0.2,13.3,51.9,12584.92,4.8,-0.37,6450.4,231,13.57,69100.04,2828.4,1/13/2013 3:47
69608.85,13.41,-0.49,0,70.2,-0.14,6619.85,20.66,0,0.87,0.73,-96.85,24,3226.93,-1.25,0.27,0,227.03,-0.13,13.38,51.9,12583.19,5,6475,-0.37,231,13.6,69101.21,2841.2,1/13/2013 3:52
69609.93,13.45,-0.47,0,69.91,-0.14,6630.33,21.53,0,2.6,0.61,-143.87,26,3225.77,-1.17,0.23,0,227.11,-0.57,13.29,51.93,12581.5,5.2,6500.8,-0.36,13.68,230.57,69102.34,2853.8,1/13/2013 3:57
69611.06,13.33,-0.39,0,69.29,-0.14,6699.22,20.4,0,3.09,0.63,-123.1,26,3224.6,-1.18,2.54,0,230.25,-0.06,13.23,51.79,12579.79,5,6526,-0.37,13.71,232,2866.4,69103.45,1/13/2013 4:02
13.44,69612.28,-0.12,0.2,68.08,-0.15,8423.62,21.36,0,4.58,0.51,-120.22,30,3223.68,-1.16,244.76,2.65,0,-1.85,13.4,54.36,12577.89,5,6551,-0.39,13.72,247,2880,69104.65,1/13/2013 4:07
15.56,-0.36,69613.47,0,0,-0.16,66.87,24.34,24253.48,0.51,-111.29,4.4,90,3222.9,0.77,0,-1.32,240.71,76.37,17,-0.59,12575.63,6573.4,-0.45,4.2,244.29,17.14,2913.2,69105.88,1/13/2013 4:12
18.91,-0.57,69615.03,0,-0.12,0,65.05,23.74,21848,0.51,-127.66,1.03,80,3221.54,1.2,0,-1.63,224,78.54,19.11,0.56,12573.03,6594.6,-0.39,4.2,229,19.75,2956,69107.38,1/13/2013 4:17
19.32,-0.12,69616.62,0.6,-0.09,0,63.62,24.8,22946.07,-168.3,0.34,2.2,84,3219.47,3.65,0,-1.56,215.74,19.15,78.29,-0.45,12571.09,6615.6,-0.37,4.2,215,19.96,69109.02,2996.6,1/13/2013 4:22
19.26,-0.12,69618.25,0.6,-0.05,0,62.17,11078.52,21.26,-102.46,0.33,3.87,40,3217.75,1.16,0,-1.28,234.15,17.91,62.98,-1.04,12568.83,4.8,6637.6,-0.32,236.83,18.87,69110.65,3030.4,1/13/2013 4:27
15.38,-0.49,69619.73,0,-0.12,0,60.78,5258.1,18.96,-121.58,0.67,3.73,20,3216.51,2.72,0,-1.41,225.13,13.8,51.82,1.5,12566.7,5,6663,-0.33,230.57,14.73,69112.09,3039.8,1/13/2013 4:32
13.14,-0.5,69620.87,0,-0.14,0,60.21,6428.64,20.53,-133.27,0.66,3.9,26,3215.21,0.96,0,-1.3,214.39,12.74,51.9,0.7,12565.28,5,6688,-0.38,13.72,217.86,69113.25,3051.8,1/13/2013 4:37
12.89,-0.48,69621.98,0,-0.16,0,6686.9,21.06,59.51,-135.23,0.46,3.3,26,3213.83,0.57,0,-1.25,214.6,12.7,51.93,0.3,12564.04,5,6713,-0.37,13.62,216.67,69114.38,3064.8,1/13/2013 4:42
12.96,-0.48,69623.19,0,-0.15,0,6637.42,20.57,58.45,-93.22,26,0.2,1.82,3212.4,0.33,0,-1.28,214.91,12.77,51.89,-0.37,12562.78,5,6738,-0.36,13.67,216.43,69115.55,3077.6,1/13/2013 4:47
12.87,-0.43,69624.31,0,-0.13,0,56.86,6678.99,20.87,-234.69,26,0.05,1.14,3210.98,1.93,0,-1.26,217.07,12.66,51.85,0.46,12561.53,5,6763,-0.38,13.76,217.14,69116.69,3090.4,1/13/2013 4:52
12.87,-0.42,69625.41,0,-0.14,0,56.03,6579.75,20.99,24,-0.11,-125.54,4.63,3209.59,0.97,0,-1.17,220.54,12.69,52.08,-1.23,12560.18,5,6788,-0.38,13.68,221,69117.79,3103.2,1/13/2013 4:57
12.93,69626.64,-0.36,0,-0.13,0,55.62,6614.33,21.32,26,-0.05,-130.89,5.51,3208.2,1.24,0,-1.23,220.95,-0.66,12.63,51.9,12558.75,5,6813,-0.38,13.79,220.5,69119.02,3115.8,1/13/2013 5:02
12.93,69627.83,-0.13,0,-0.11,21.12,0,55.6,6736.29,-0.04,5.77,26,-122.25,3206.95,3.17,0,-1.12,230.03,51.85,-3.58,12.72,12557.26,5,6838,-0.39,13.67,230.14,69120.2,3128.8,1/13/2013 5:07
0.4,69628.95,13.01,-0.14,20.87,-0.12,6725.8,55.62,0,0.01,-117.76,26,6.5,3205.86,0,-1.23,2.33,230.13,12.77,-2.61,51.92,12555.62,5.2,6863.4,-0.38,13.71,231.57,69121.33,3141.8,1/13/2013 5:12
-0.04,0.2,69630.08,12.97,20.57,-0.07,6649.75,54.55,0,-0.12,-115.69,26,6.43,3204.74,0,-1.29,2.5,229.43,12.67,-2.79,51.85,12553.98,5,6889,-0.41,13.77,230.17,69122.45,3154.4,1/13/2013 5:17
-0.02,0.6,69631.28,12.92,21.08,52.22,-0.11,6736.19,0,-0.22,-116.42,26,6.82,3203.59,0,-1.4,2.73,229.49,12.6,-2.97,51.98,12552.38,5,6914,-0.42,13.72,229.43,69123.65,3167.4,1/13/2013 5:22
0.11,0.6,69632.39,12.79,21.27,51.51,-0.06,6868.27,0,-0.35,-118.89,26,6.57,3202.46,0,-1.26,3.1,229.47,12.59,-3.44,51.99,12550.82,5.2,6939.4,-0.43,13.7,229.43,69124.78,3180.6,1/13/2013 5:27
0.25,1.4,69633.52,12.8,20.55,51.06,-0.02,6855.48,0,-0.23,26,-123.2,6.42,3201.3,0,-1.47,3.07,229.1,12.53,-3.43,51.97,12549.23,5,6965,-0.48,13.7,228.67,69125.91,3193.6,1/13/2013 5:32
0.28,2.2,69634.63,12.85,20.24,50.73,-0.07,6973.76,0,-0.28,26,-118.3,5.6,3200.13,0,-1.44,2.91,228.83,12.59,-3.19,51.77,12547.67,5,-0.45,6990,13.7,227.86,69127,3207,1/13/2013 5:37
0.25,3.2,69635.75,12.83,20.79,50.17,-0.05,6849.05,0,-0.56,4.86,26,-118.79,3198.96,0,-1.51,2.73,228.87,-3.01,12.59,51.95,12546.15,5,-0.47,7015,13.71,227.17,69128.13,3220,1/13/2013 5:42
0.4,3,69636.96,12.79,20.7,49.81,-0.03,6898.53,0.4,-0.56,5.18,26,-124.78,3197.8,-1.49,2.87,0,228.94,-3.13,12.53,51.97,12544.66,5,-0.49,7040,13.63,226.86,69129.33,3233,1/13/2013 5:47
0.15,69638.06,12.75,0.8,20.28,49.53,-0.01,6830.65,0.2,-0.58,3.73,26,-118.87,3196.63,-1.31,2.24,0,228.8,52.06,-2.56,12.5,12543.18,5,-0.48,7065,13.63,226.86,69130.44,3246.2,1/13/2013 5:52
69639.17,12.71,0.6,3.6,20.43,48.81,-0.03,7008.07,0,-0.56,5,28,-117.11,3195.46,-1.36,3.31,0,236.43,51.72,-3.6,12.44,12541.64,5,-0.49,7090,13.58,232.33,69131.56,3259.6,1/13/2013 5:57
69640.37,12.63,0.39,4.6,20.3,47.73,-0.05,6849.05,0,-0.51,5.77,28,-105.97,3194.56,-1.43,2.63,0,241.93,51.89,-2.92,12.32,12539.89,5.4,7116.2,-0.47,13.45,240.71,69132.73,3273.4,1/13/2013 6:02
69641.46,12.61,0.49,8.2,19.76,46.45,0.01,7149.15,0.2,-0.55,5.91,26,-112.6,3193.69,-1.47,3.87,0,240.61,52.06,-4.17,12.4,12538.15,5.2,7142.6,-0.54,13.52,238.71,69133.84,3286.6,1/13/2013 6:07
0.41,69642.56,12.64,4,45.08,0.02,6783.84,20.47,1,-117.66,5.01,26,-0.61,3192.76,0,-1.62,235.67,3.19,-3.46,12.36,51.86,12536.41,5.4,7169.2,-0.52,13.46,234.5,69134.94,3299.8,1/13/2013 6:12
0.31,69643.75,12.64,3,42.91,-0.06,6894.48,20.5,0,-109.67,5.72,26,-0.79,3191.7,-1.39,233.6,2.83,0,-3,12.4,51.98,12534.78,5.2,7195.6,-0.44,13.51,230.71,69136.13,3313,1/13/2013 6:17
0.23,69644.84,12.67,2.2,42.4,-0.03,6906.34,20.68,0,-114.14,5.06,28,-0.95,3190.58,-1.4,231.4,2.27,0,-2.63,12.41,52.07,12533.25,5,7221,-0.46,13.53,227.86,69137.23,3326.4,1/13/2013 6:22
0.04,69645.96,12.7,1.2,41.3,-0.03,7061.41,0,19.5,-111.26,5.44,26,-1.08,3189.41,-1.27,232.03,2.84,0,-3.14,12.49,52.08,12531.71,5,7246,-0.47,13.58,227.83,69138.33,3339.4,1/13/2013 6:27
69647.07,12.71,0.04,1,39.97,-0.07,7025.91,0,19.75,-98.52,5.82,26,-1.07,3188.24,2.87,0,-1.35,232.11,52.12,-3.1,12.42,12530.17,5,7271,-0.45,13.6,227.14,69139.45,3352.8,1/13/2013 6:32
69648.16,12.66,0.28,1.8,40.03,-0.04,7008.99,0,20.14,-112.5,7.11,28,-1.21,3187.08,3.79,0,-1.2,232.65,52.09,-4.06,12.4,12528.67,5,7296,-0.48,13.52,227.33,69140.54,3366.4,1/13/2013 6:37
69649.37,12.64,0.21,2.2,38.94,-0.05,7057.64,0,20.03,-1.36,-113.4,7.85,26,3185.91,234.5,4.4,0,-1.25,52.14,-4.38,12.42,12527.14,5.2,7321.2,-0.47,13.56,228.43,69141.74,3379.8,1/13/2013 6:42
69650.45,12.6,0.23,2.8,38.22,-0.05,0,6987.46,20.09,-1.46,-109.21,7.93,28,3184.81,234.41,3.91,0,-1.19,51.98,-4.23,12.4,12525.63,5,7347,-0.45,13.57,228.43,3393.4,69142.83,1/13/2013 6:47
69651.57,12.61,0.35,3.2,37.57,-0.06,0,6979.1,19.83,-1.59,-110.01,7.57,26,3183.68,234.42,4.17,0,-1.41,51.79,-4.51,12.39,12524.15,5,7371.8,-0.44,13.57,227.33,3406.6,69143.95,1/13/2013 6:52
69652.78,12.62,0.19,2.33,36.4,-0.06,0,7018.04,20.67,-1.75,-100.81,7.97,26,3182.34,3.47,234.69,0,-1.28,51.94,-3.49,12.4,12522.43,5,7396.8,-0.45,13.52,226.63,3420,69145.15,1/13/2013 6:57
69653.93,12.57,0.23,2,35.52,-0.06,0,6989.3,20.54,-1.88,7.53,28,-104.93,3181.17,3.79,235.73,0,-1.23,52.07,-4.1,12.44,12520.9,5,7422,-0.44,13.47,228.17,3433.4,69146.31,1/13/2013 7:02
69655.13,12.57,0.19,2.75,7052.03,20.25,34.11,0.25,-0.02,-1.84,7.65,26,-104.08,3180.01,4.02,236.2,0,-1.23,52.03,-4.3,12.53,12519.36,5,7447,-0.46,13.48,228,3446.8,69147.52,1/13/2013 7:07
69656.24,12.59,0.25,2.8,7016.82,20.39,32.53,-0.06,0,7.3,28,-2,-105.55,3179,-1.26,4.1,0,236.12,51.78,-4.37,12.6,12518.01,5,-0.44,7472,13.47,227.83,69148.61,3460.4,1/13/2013 7:12
69657.23,12.65,0.34,1.8,7022.34,20.64,31.51,-0.02,0.2,6.8,26,-2.01,-101.76,3177.86,-1.26,4.16,0,236.1,51.96,-4.5,12.61,12516.51,5.2,-0.48,7497.2,13.46,227.71,69149.62,3473.6,1/13/2013 7:17
69658.34,12.64,0.37,2.6,7146.03,20.3,31.32,-0.04,0,6.99,28,-1.97,-98.69,3176.69,-1.43,3.74,0,236.05,51.81,-4.16,12.61,12514.96,5,-0.46,7523,13.44,227.83,3487.4,69150.73,1/13/2013 7:22
69659.45,12.63,0.47,3,7006.41,20.11,30.92,-0.06,0,-2.06,5.77,26,-98.03,3175.5,-1.47,237.69,4.82,0,52.02,-5.1,12.68,12513.4,5.4,-0.44,7549.2,13.42,228.43,3500.6,69151.82,1/13/2013 7:27
69660.53,12.58,0.2,1.4,7097.56,19.73,30.67,-0.01,0,-2.09,6.09,28,-106.4,3174.4,-1.31,240.02,3.81,0,51.84,-4.11,12.64,12511.82,5.4,-0.47,7576.2,13.44,231,3514.2,69152.9,1/13/2013 7:32
69661.71,12.66,0.25,1.8,7038.14,20.3,30.49,-0.05,0,-2.06,6.22,26,-101.75,3173.31,3.38,-1.44,239.96,0,51.91,-3.7,12.7,12510.18,5.4,-0.43,7603.2,13.49,231.14,3527.6,69154.1,1/13/2013 7:37
69662.82,12.63,0.6,3.4,7095.07,20.25,29.65,-0.05,0,-2.08,6.86,28,-107.71,3172.21,3.73,-1.42,240.14,0,51.79,-3.97,12.7,12508.54,5.4,-0.47,7630.6,13.43,231.14,3541.2,69155.18,1/13/2013 7:42
69663.91,12.7,0.39,3.2,7140.14,19.78,28.85,-0.01,0,-2.18,6.59,27.5,-102.13,3171.17,3.6,-1.35,240.18,0,51.84,-3.34,12.76,12507,5.25,-0.48,7653.75,13.37,231.17,3553.5,69156.28,1/13/2013 7:47
69665.07,12.62,0.76,5.8,7204.06,19.06,28.24,-0.04,0,-2,7.37,26,-101.13,3170.12,6.1,-1.33,245.13,0,52.04,-6.32,12.67,12505.31,5.6,-0.49,7678.6,13.3,235.86,3565.8,69157.46,1/13/2013 7:52
69666.18,12.59,0.66,3.6,7192.38,19.54,-0.05,0.2,27.63,-2,-106.93,6.93,28,3169.17,4.33,-1.31,245.21,0,51.9,-4.6,12.77,12503.58,5.4,-0.49,7706.8,13.39,237.14,3579.6,69158.54,1/13/2013 7:57
69667.25,12.81,0.57,5.6,7086.43,20.32,-0.05,0,27.34,-2.02,-107.9,7.07,26,3168.2,4.29,-1.51,244.92,0,51.95,-4.59,12.87,12501.81,5.4,7733.2,-0.47,13.38,236.83,3593,69159.63,1/13/2013 8:02
69668.43,12.93,0.5,7,7082.66,-0.04,0,20.12,27.35,-2.06,-106.2,6.92,28,3167.22,245.16,4.25,-1.46,0,52.01,-4.6,12.95,12500.02,5,7759,-0.49,13.36,236.57,3606.6,69160.82,1/13/2013 8:07
69669.54,13.1,0.66,4.8,27.17,0,7069.5,-0.08,19.94,28,-2.16,-104.33,7.04,3166.21,241.09,4.03,0,-1.57,52.06,-4.34,13.13,12498.26,5,7784,-0.45,13.38,233.14,3620.2,69161.89,1/13/2013 8:12
69670.6,13.11,0.55,3.8,27.21,0,7144.92,-0.06,19.7,26,-2.17,7.94,-109.47,3165.09,241.35,4.86,0,-1.34,52.08,-5.16,13.27,12496.52,5,7809,-0.48,13.43,232.83,3633.8,69162.99,1/13/2013 8:17
69671.79,13.3,0.53,4.2,27.53,0,7046.51,-0.06,19.61,28,-2.25,8.28,-109.62,3163.96,241.14,5.23,0,-1.34,51.96,-5.57,13.4,12494.77,5.2,7835,-0.47,13.42,232.71,3647.4,69164.18,1/13/2013 8:22
69672.9,13.39,0.48,4.8,27.62,0,7151.91,-0.07,20.01,28,-2.19,-103.64,7.93,3162.85,241.08,4.61,0,-1.44,51.9,-4.81,13.49,12493.03,5,7860,-0.44,13.43,232.67,3661.2,69165.26,1/13/2013 8:27
69673.97,13.44,2.2,0.29,0,27.99,-0.07,7112.64,19.73,26,-2.25,-110.72,8.27,3161.7,240.87,5.07,0,-1.07,51.81,-5.3,13.55,12491.25,5,7885,-0.47,13.46,232.29,3674.6,69166.36,1/13/2013 8:32
69675.08,13.66,3.6,0.49,0,28.45,-0.05,7153.66,19.61,26,-2.29,-109.59,8.43,3160.54,239.67,4.43,0,-1.33,52.14,-4.71,13.61,12489.47,5,7910,-0.48,13.45,231.43,3688,69167.47,1/13/2013 8:37
69676.18,13.76,4.2,0.58,0,20.61,29.11,-0.06,6932.37,28,-2.22,-109.04,7.11,3159.35,238.55,4.47,0,-1.39,51.92,-4.74,13.7,12487.74,7935,-0.46,5,13.44,230,3701.4,69168.54,1/13/2013 8:42
69677.37,13.79,2.5,0.39,0,20.53,29.18,-0.08,6980.57,26,-2.24,-116.67,6.58,3158.16,238.81,4.27,0,-1.26,51.85,-4.53,13.77,12486.06,7960,-0.46,5,13.47,230.57,3714.8,69169.74,1/13/2013 8:47
69678.45,13.98,3,0.53,0,20.08,29.41,-0.1,7031.61,28,-2.23,-120.17,6.74,3156.96,238.86,4.47,0,-1.43,51.93,-4.8,13.94,12484.33,7985,-0.44,5,13.47,230.43,3728.4,69170.84,1/13/2013 8:52
69679.57,14.04,2.2,0.37,0,19.86,29.4,-0.08,7016.07,26,-2.22,-117.86,6.81,3155.74,238.88,3.9,0,-1.4,51.69,-4.29,14,12482.53,8010.2,-0.45,5,13.51,231.17,3741.6,69171.93,1/13/2013 8:57
69680.76,14.05,3,0.43,0,7094.98,19.78,29.28,-0.08,28,-2.18,-106.57,7.72,3154.51,238.7,5.43,0,-1.39,52.14,-5.72,14.08,12480.73,8036,-0.46,5.2,231.14,13.53,3755.4,69173.13,1/13/2013 9:02
2.2,69681.84,14.06,0.43,0,7050.56,19.92,28.96,-0.13,26,-2.16,-109.54,8.03,3153.29,238.29,4.49,0,-1.3,-4.8,14.1,51.94,12478.94,8061,-0.39,5,230.86,13.45,3768.8,69174.25,1/13/2013 9:07
69682.95,14.2,2.4,0.26,-0.09,29.25,0,21.34,6899.81,-1.97,-112.96,7.5,26,3152.05,0,4.43,-1.21,238.17,52.15,14.19,-4.71,12477.12,8086,5,-0.45,231.17,13.5,3782,69175.31,1/13/2013 9:12
69684.14,14.27,2.6,0.38,-0.09,31.63,0,20.38,6963.58,-1.8,-111.75,7.35,28,3150.81,0,4.4,-1.33,237.99,51.81,14.2,-4.7,12475.27,8110.4,4.8,-0.45,231.86,13.58,3795.6,69176.52,1/13/2013 9:17
69685.24,14.43,2.8,0.39,-0.1,34.27,21.3,0,6901.75,-1.74,-113.29,7.44,26,3149.6,0,3.24,-1.17,237.23,14.29,52.11,-3.39,12473.45,8135.2,5.2,-0.43,231.29,13.66,69177.64,3808.8,1/13/2013 9:22
69686.36,14.51,3.4,0.46,-0.06,35.48,21.05,0,6835.71,-127.14,-1.76,5.83,28,3148.34,0,2.84,-1.48,235.25,14.34,51.91,-2.36,12471.62,8160.8,4.8,-0.47,229.17,13.61,69178.72,3822.2,1/13/2013 9:27
69687.48,14.62,2.8,0.71,-0.08,35.96,6946.17,20.9,0,-118.53,-1.79,7.02,26,3147.01,0,2.88,-1.47,235.94,14.42,52,-2.73,12469.82,5.2,8185.6,-0.44,229.14,13.66,69179.85,3835.4,1/13/2013 9:32
69688.58,14.67,2.4,0.4,35.45,-0.11,6850.15,21.2,0,-112.47,-1.87,6.81,26,3145.74,0,3.41,-1.32,236.75,14.4,51.82,-3.67,12468.03,5.4,8212,-0.42,13.64,230,69180.97,3848.6,1/13/2013 9:37
69689.79,14.67,0.63,3.6,-0.08,6926.58,21.08,34.73,0,-116.95,-1.93,6.13,26,3144.43,0,3.33,-1.54,237.04,14.5,51.81,-3.67,12466.21,5.2,8238.2,-0.46,13.63,229.86,69182.15,3862,1/13/2013 9:42
